Post Url,Raw Caption,Skater,Pants
"https://www.instagram.com/p/CAbqKOIFkOW/
","@caleb_mcneely wearing @ceebluesstore jeans.  What a great a fit!
",@caleb_mcneely,@ceebluesstore jeans
"https://www.instagram.com/p/CAap4ihlQd5/
","@mrstealyourboard wearing @polarskateco Big Boy Jeans.  What a great fit!
",@mrstealyourboard,@polarskateco Big Boy Jeans
"https://www.instagram.com/p/CAYydpZlkM-/
","@marcellocampanello wearing @landsend Hiking Pants in XL requested by @ghostmode. What great fit!
",@marcellocampanello,@landsend Hiking Pants in XL requested by @ghostmode
"https://www.instagram.com/p/CAU9q_ilS2g/
","@timjmz wearing @hidden_s_rank BDU v4.0.1 Olive.  What a great fit!
",@timjmz,@hidden_s_rank BDU v4.0.1 Olive
"https://www.instagram.com/p/CATkp2cF6kh/
","@tom_dull wearing @levis 560.  What a great fit!
",@tom_dull,@levis 560
"https://www.instagram.com/p/CAS9ScslgTK/
","@christiandufrene wearing @poloralphlauren golf cords.  What a great fit!
",@christiandufrene,@poloralphlauren golf cords
"https://www.instagram.com/p/CAQgpsbFyzd/
","@karstenkleppan wearing @tommyhilfiger cords. What a great fit!
",@karstenkleppan,@tommyhilfiger cords
"https://www.instagram.com/p/CAOT1udl2pJ/
","@mikeysantillan wearing @polarskateco surf pants.  What a great fit!
",@mikeysantillan,@polarskateco surf pants
"https://www.instagram.com/p/CALpGOhlmzx/
","@kidcobbs wearing @levisskateboarding work pants.  What a great fit!
",@kidcobbs,@levisskateboarding work pants
"https://www.instagram.com/p/CAIhDhYFlk5/
","@oski wearing @levis silver tabs.  What a great fit!
",@oski,@levis silver tabs
"https://www.instagram.com/p/CAG_GMZl-cY/
","@dickrizzo wearing @carharttwip ripstop cargo samples.  What a great fit!
",@dickrizzo,@carharttwip ripstop cargo samples
"https://www.instagram.com/p/CAFfYrVFoUM/
","@skiduls wearing @brixton jeans.  What a great fit!
",@skiduls,@brixton jeans
"https://www.instagram.com/p/CAD7U0AFt5I/
","@tedbarrow (requested by @champagnenappypapi) wearing @bendaviscompany 100% Cotton Original Ben’s Pants.  What a great fit!
",@tedbarrow,@bendaviscompany 100% Cotton Original Ben’s Pants
"https://www.instagram.com/p/CAC-GBdFP65/
","@heitordasilva wearing @palaceskateboards track pants.  What a great fit!
",@heitordasilva,@palaceskateboards track pants
"https://www.instagram.com/p/CABK906FsGY/
","@remy_tav wearing @carharttwip Camper Pant.  What a great fit!
",@remy_tav,@carharttwip Camper Pant
"https://www.instagram.com/p/CAA5cMkF9cD/
","@smokeeyes wearing @levis 501s.  What a great fit!
",@smokeeyes,@levis 501s
